"x","y","country","gender"
2212.26555890328,5.75774738969279e-05,"Japan","all"
2268.42432803159,5.95005965494549e-05,"Japan","all"
2324.58309715989,6.15681757327372e-05,"Japan","all"
2380.7418662882,6.37780898403326e-05,"Japan","all"
2436.9006354165,6.6118586697622e-05,"Japan","all"
2493.05940454481,6.85687654039087e-05,"Japan","all"
2549.21817367311,7.10999069450704e-05,"Japan","all"
2605.37694280141,7.36775011381906e-05,"Japan","all"
2661.53571192972,7.62637417350742e-05,"Japan","all"
2717.69448105802,7.88202277872431e-05,"Japan","all"
2773.85325018633,8.13106187172985e-05,"Japan","all"
2830.01201931463,8.37030367823934e-05,"Japan","all"
2886.17078844294,8.596424910754e-05,"Japan","all"
2942.32955757124,8.80782264594757e-05,"Japan","all"
2998.48832669955,9.00450065217665e-05,"Japan","all"
3054.64709582785,9.18693211915622e-05,"Japan","all"
3110.80586495615,9.35651605675918e-05,"Japan","all"
3166.96463408446,9.5154765618817e-05,"Japan","all"
3223.12340321276,9.66669223172557e-05,"Japan","all"
3279.28217234107,9.81345774732625e-05,"Japan","all"
3335.44094146937,9.95918967340504e-05,"Japan","all"
3391.59971059768,0.000101070995547514,"Japan","all"
3447.75847972598,0.000102598671995062,"Japan","all"
3503.91724885428,0.000104193534059024,"Japan","all"
3560.07601798259,0.000105864218670537,"Japan","all"
3616.23478711089,0.000107612314477395,"Japan","all"
3672.3935562392,0.000109414360901193,"Japan","all"
3728.5523253675,0.000111246407164297,"Japan","all"
3784.71109449581,0.000113080631365823,"Japan","all"
3840.86986362411,0.000114889207398435,"Japan","all"
3897.02863275241,0.000116648096884185,"Japan","all"
3953.18740188072,0.000118340320068753,"Japan","all"
4009.34617100902,0.000119958327889476,"Japan","all"
4065.50494013733,0.000121505200790079,"Japan","all"
4121.66370926563,0.000122994530613763,"Japan","all"
4177.82247839394,0.000124448990411005,"Japan","all"
4233.98124752224,0.000125897751402267,"Japan","all"
4290.14001665055,0.000127376014522717,"Japan","all"
4346.29878577885,0.000128919008634671,"Japan","all"
4402.45755490715,0.000130549434377857,"Japan","all"
4458.61632403546,0.000132282554028121,"Japan","all"
4514.77509316376,0.000134123362300946,"Japan","all"
4570.93386229207,0.000136066168667048,"Japan","all"
4627.09263142037,0.000138095173579841,"Japan","all"
4683.25140054868,0.000140185860357164,"Japan","all"
4739.41016967698,0.000142306983365871,"Japan","all"
4795.56893880528,0.00014442292736152,"Japan","all"
4851.72770793359,0.00014649623292814,"Japan","all"
4907.88647706189,0.000148490117969025,"Japan","all"
4964.0452461902,0.000150370863671741,"Japan","all"
5020.2040153185,0.00015209482690403,"Japan","all"
5076.36278444681,0.000153653137011198,"Japan","all"
5132.52155357511,0.000155036490739008,"Japan","all"
5188.68032270342,0.000156244300950742,"Japan","all"
5244.83909183172,0.000157284752185507,"Japan","all"
5300.99786096002,0.00015817354243267,"Japan","all"
5357.15663008833,0.000158931776827311,"Japan","all"
5413.31539921663,0.000159583144383488,"Japan","all"
5469.47416834494,0.000160150652515236,"Japan","all"
5525.63293747324,0.000160653326407625,"Japan","all"
5581.79170660155,0.000161103370339791,"Japan","all"
5637.95047572985,0.000161504305701955,"Japan","all"
5694.10924485815,0.000161847639215512,"Japan","all"
5750.26801398646,0.000162116072400812,"Japan","all"
5806.42678311476,0.00016229382612834,"Japan","all"
5862.58555224307,0.000162362958274867,"Japan","all"
5918.74432137137,0.000162310094714889,"Japan","all"
5974.90309049968,0.000162129043298605,"Japan","all"
6031.06185962798,0.00016182178653952,"Japan","all"
6087.22062875628,0.000161397666895338,"Japan","all"
6143.37939788459,0.000160870933447842,"Japan","all"
6199.53816701289,0.000160257143793818,"Japan","all"
6255.6969361412,0.000159569158121325,"Japan","all"
6311.8557052695,0.000158813581143554,"Japan","all"
6368.01447439781,0.000157988471244841,"Japan","all"
6424.17324352611,0.000157074275800451,"Japan","all"
6480.33201265441,0.000156056333264419,"Japan","all"
6536.49078178272,0.00015491479619161,"Japan","all"
6592.64955091102,0.000153632131076268,"Japan","all"
6648.80832003933,0.000152197717389746,"Japan","all"
6704.96708916763,0.000150610041973875,"Japan","all"
6761.12585829594,0.000148877020214866,"Japan","all"
6817.28462742424,0.00014701453691824,"Japan","all"
6873.44339655254,0.000145043668053246,"Japan","all"
6929.60216568085,0.0001429872832092,"Japan","all"
6985.76093480915,0.000140866799990248,"Japan","all"
7041.91970393746,0.00013869975752475,"Japan","all"
7098.07847306576,0.000136497756267674,"Japan","all"
7154.23724219407,0.000134268026516232,"Japan","all"
7210.39601132237,0.000132015711622054,"Japan","all"
7266.55478045068,0.000129742539342359,"Japan","all"
7322.71354957898,0.000127450266664635,"Japan","all"
7378.87231870728,0.000125141490806233,"Japan","all"
7435.03108783559,0.000122819879573259,"Japan","all"
7491.18985696389,0.000120489917063646,"Japan","all"
7547.3486260922,0.000118156338282936,"Japan","all"
7603.5073952205,0.000115823455177931,"Japan","all"
7659.66616434881,0.00011349456579383,"Japan","all"
7715.82493347711,0.000111171598754107,"Japan","all"
7771.98370260541,0.000108855088644336,"Japan","all"
7828.14247173372,0.000106544902627891,"Japan","all"
7884.30124086202,0.000104239862282477,"Japan","all"
7940.46000999033,0.0001019400493599,"Japan","all"
7996.61877911863,9.96474257276829e-05,"Japan","all"
8052.77754824694,9.73662781836693e-05,"Japan","all"
8108.93631737524,9.51033735618687e-05,"Japan","all"
8165.09508650355,9.28676622583327e-05,"Japan","all"
8221.25385563185,9.06695484035781e-05,"Japan","all"
8277.41262476015,8.85198151922995e-05,"Japan","all"
8333.57139388846,8.6428349509711e-05,"Japan","all"
8389.73016301676,8.44028437952652e-05,"Japan","all"
8445.88893214507,8.24476611676257e-05,"Japan","all"
8502.04770127337,8.05647113431192e-05,"Japan","all"
8558.20647040168,7.87513297446719e-05,"Japan","all"
8614.36523952998,7.69930311014481e-05,"Japan","all"
8670.52400865829,7.52774189677889e-05,"Japan","all"
8726.68277778659,7.35908368898947e-05,"Japan","all"
8782.84154691489,7.19201125024522e-05,"Japan","all"
8839.0003160432,7.02543049697408e-05,"Japan","all"
8895.1590851715,6.85861948451909e-05,"Japan","all"
8951.31785429981,6.69132538877933e-05,"Japan","all"
9007.47662342811,6.52378769590041e-05,"Japan","all"
9063.63539255642,6.35667522869378e-05,"Japan","all"
9119.79416168472,6.19093846804905e-05,"Japan","all"
9175.95293081302,6.02759537861188e-05,"Japan","all"
9232.11169994133,5.86773728305201e-05,"Japan","all"
9288.27046906963,5.71158375404622e-05,"Japan","all"
9344.42923819794,5.55873545941611e-05,"Japan","all"
9400.58800732624,5.40834746215001e-05,"Japan","all"
9456.74677645455,5.25920662913927e-05,"Japan","all"
9512.90554558285,5.10996998901763e-05,"Japan","all"
9569.06431471116,4.95943162595733e-05,"Japan","all"
9625.22308383946,4.80676540414484e-05,"Japan","all"
9681.38185296776,4.65169847984724e-05,"Japan","all"
9737.54062209607,4.49458620486197e-05,"Japan","all"
9793.69939122437,4.33637924931113e-05,"Japan","all"
9849.85816035268,4.17849464858357e-05,"Japan","all"
9906.01692948098,4.02269233993546e-05,"Japan","all"
9962.17569860929,3.87112033679303e-05,"Japan","all"
10018.3344677376,3.72508371737219e-05,"Japan","all"
10074.4932368659,3.58567513035704e-05,"Japan","all"
10130.6520059942,3.45356249198165e-05,"Japan","all"
10186.8107751225,3.32898913189446e-05,"Japan","all"
10242.9695442508,3.21181736382017e-05,"Japan","all"
10299.1283133791,3.10160178406788e-05,"Japan","all"
10355.2870825074,2.99767953991895e-05,"Japan","all"
10411.4458516357,2.89926650125951e-05,"Japan","all"
10467.604620764,2.80554999301708e-05,"Japan","all"
10523.7633898923,2.71577016726898e-05,"Japan","all"
10579.9221590206,2.62928324874963e-05,"Japan","all"
10636.0809281489,2.54575431009076e-05,"Japan","all"
10692.2396972772,2.46476789914438e-05,"Japan","all"
10748.3984664055,2.38610423882461e-05,"Japan","all"
10804.5572355338,2.30973107951679e-05,"Japan","all"
10860.7160046622,2.23567007629981e-05,"Japan","all"
10916.8747737905,2.16396275730954e-05,"Japan","all"
10973.0335429188,2.09465170989668e-05,"Japan","all"
11029.1923120471,2.02777913610144e-05,"Japan","all"
11085.3510811754,1.96340015737449e-05,"Japan","all"
11141.5098503037,1.90160414764011e-05,"Japan","all"
11197.668619432,1.8425346842642e-05,"Japan","all"
11253.8273885603,1.78639797546296e-05,"Japan","all"
11309.9861576886,1.73348967833405e-05,"Japan","all"
11366.1449268169,1.68435676386576e-05,"Japan","all"
11422.3036959452,1.63891309234044e-05,"Japan","all"
11478.4624650735,1.59718376663836e-05,"Japan","all"
11534.6212342018,1.55897862251808e-05,"Japan","all"
11590.7800033301,1.52386457117978e-05,"Japan","all"
11646.9387724584,1.49117975952079e-05,"Japan","all"
11703.0975415867,1.46009237821098e-05,"Japan","all"
11759.256310715,1.42969808471152e-05,"Japan","all"
11815.4150798433,1.39914174706896e-05,"Japan","all"
11871.5738489716,1.36774307833802e-05,"Japan","all"
11927.7326180999,1.33510295915337e-05,"Japan","all"
11983.8913872282,1.30116869279665e-05,"Japan","all"
12040.0501563565,1.26622820127082e-05,"Japan","all"
12096.2089254849,1.23101811700863e-05,"Japan","all"
12152.3676946132,1.19637024910679e-05,"Japan","all"
12208.5264637415,1.16304903653339e-05,"Japan","all"
12264.6852328698,1.13165600969345e-05,"Japan","all"
12320.8440019981,1.10253090085189e-05,"Japan","all"
12377.0027711264,1.07569990712032e-05,"Japan","all"
12433.1615402547,1.0508744837762e-05,"Japan","all"
12489.320309383,1.02749619298615e-05,"Japan","all"
12545.4790785113,1.00481729006378e-05,"Japan","all"
12601.6378476396,9.82003340326431e-06,"Japan","all"
12657.7966167679,9.58243234718141e-06,"Japan","all"
12713.9553858962,9.32845314035096e-06,"Japan","all"
12770.1141550245,9.05141249188017e-06,"Japan","all"
12826.2729241528,8.7518748818544e-06,"Japan","all"
12882.4316932811,8.4319002516081e-06,"Japan","all"
12938.5904624094,8.0962594843225e-06,"Japan","all"
12994.7492315377,7.75187054259592e-06,"Japan","all"
13050.908000666,7.40701258908245e-06,"Japan","all"
13107.0667697943,7.07041350370542e-06,"Japan","all"
13163.2255389226,6.75032105363539e-06,"Japan","all"
13219.3843080509,6.45366768825222e-06,"Japan","all"
13275.5430771792,6.18542304226985e-06,"Japan","all"
13331.7018463075,5.94819895287319e-06,"Japan","all"
13387.8606154359,5.74213375040993e-06,"Japan","all"
13444.0193845642,5.5661785632952e-06,"Japan","all"
13500.1781536925,5.41529877128537e-06,"Japan","all"
13556.3369228208,5.28234967684403e-06,"Japan","all"
13612.4956919491,5.16108628942407e-06,"Japan","all"
13668.6544610774,5.04544417732334e-06,"Japan","all"
13724.8132302057,4.93015116983142e-06,"Japan","all"
13780.971999334,4.81126443266133e-06,"Japan","all"
13837.1307684623,4.68658126482636e-06,"Japan","all"
13893.2895375906,4.55586641842919e-06,"Japan","all"
13949.4483067189,4.42084386479017e-06,"Japan","all"
14005.6070758472,4.28492020643506e-06,"Japan","all"
14061.7658449755,4.15264089867567e-06,"Japan","all"
14117.9246141038,4.028926222628e-06,"Japan","all"
14174.0833832321,3.91964663780088e-06,"Japan","all"
14230.2421523604,3.82646015361007e-06,"Japan","all"
14286.4009214887,3.74947688117398e-06,"Japan","all"
14342.559690617,3.68658698095712e-06,"Japan","all"
14398.7184597453,3.63372669292588e-06,"Japan","all"
14454.8772288736,3.58551521469868e-06,"Japan","all"
14511.0359980019,3.53609717556514e-06,"Japan","all"
14567.1947671302,3.48004713231585e-06,"Japan","all"
