country,steps_gini,obesity_mean,age_cat
Ukraine,0.247597840426,0.118644067797,"Age [30, 40)"
United Arab Emirates,0.258767267666,0.247883917775,"Age [30, 40)"
United Kingdom,0.275769209978,0.203266007735,"Age [30, 40)"
United States,0.285918485232,0.294776438403,"Age [30, 40)"
Australia,0.30280862119,0.289165446559,"Age [40, 50)"
Belgium,0.270686440928,0.0961538461538,"Age [40, 50)"
Brazil,0.255415921705,0.275316455696,"Age [40, 50)"
Canada,0.298004607759,0.274007220217,"Age [40, 50)"
Chile,0.258146083148,0.2,"Age [40, 50)"
China,0.237749048839,0.0683371298405,"Age [40, 50)"
Czech Republic,0.249437674065,0.241206030151,"Age [40, 50)"
Denmark,0.256501119794,0.132832080201,"Age [40, 50)"
Egypt,0.337359575947,0.415094339623,"Age [40, 50)"
Finland,0.271808852265,0.15037593985,"Age [40, 50)"
France,0.268442027922,0.123786407767,"Age [40, 50)"
Germany,0.268400555328,0.182163187856,"Age [40, 50)"
Greece,0.289766627354,0.288235294118,"Age [40, 50)"
Hong Kong,0.214077755349,0.0632411067194,"Age [40, 50)"
Hungary,0.262529197484,0.158415841584,"Age [40, 50)"
India,0.283304077115,0.186311787072,"Age [40, 50)"
Indonesia,0.269290275207,0.120603015075,"Age [40, 50)"
Ireland,0.26020521628,0.228464419476,"Age [40, 50)"
Israel,0.239506314169,0.203947368421,"Age [40, 50)"
Italy,0.258095347421,0.106153846154,"Age [40, 50)"
Japan,0.252455817086,0.0643255661306,"Age [40, 50)"
Malaysia,0.264906385396,0.180212014134,"Age [40, 50)"
Mexico,0.26594969802,0.235164835165,"Age [40, 50)"
Netherlands,0.264527379839,0.139686684073,"Age [40, 50)"
New Zealand,0.297416483269,0.298611111111,"Age [40, 50)"
Norway,0.251279606621,0.179419525066,"Age [40, 50)"
Philippines,0.298339872851,0.154545454545,"Age [40, 50)"
Poland,0.251934940622,0.145077720207,"Age [40, 50)"
Portugal,0.271841990031,0.163636363636,"Age [40, 50)"
Qatar,0.258523813621,0.247619047619,"Age [40, 50)"
Romania,0.288128106186,0.258823529412,"Age [40, 50)"
Russia,0.259929363409,0.267368421053,"Age [40, 50)"
Saudi Arabia,0.275944811448,0.36820083682,"Age [40, 50)"
Singapore,0.260329135642,0.11755952381,"Age [40, 50)"
South Africa,0.269553130154,0.352941176471,"Age [40, 50)"
South Korea,0.261491993704,0.0527306967985,"Age [40, 50)"
Spain,0.241938659618,0.165961945032,"Age [40, 50)"
Sweden,0.233492186457,0.181172291297,"Age [40, 50)"
Switzerland,0.241765416151,0.142424242424,"Age [40, 50)"
Taiwan,0.248209790579,0.061876247505,"Age [40, 50)"
Thailand,0.268291939069,0.0705521472393,"Age [40, 50)"
Turkey,0.244685454125,0.219941348974,"Age [40, 50)"
Ukraine,0.263373822029,0.305555555556,"Age [40, 50)"
United Arab Emirates,0.258283833213,0.257142857143,"Age [40, 50)"
United Kingdom,0.2812744871,0.262449051923,"Age [40, 50)"
United States,0.294133421022,0.347422096317,"Age [40, 50)"
Australia,0.330611900376,0.280206677266,"Age [50, 100)"
Belgium,0.312167250545,0.177358490566,"Age [50, 100)"
