"x","y","country"
4402.45654778796,0.000130549403999331,"Japan"
4458.61530761483,0.000132282520799181,"Japan"
4514.77406744169,0.000134123326125657,"Japan"
4570.93282726856,0.000136066129710925,"Japan"
4627.09158709543,0.000138095132255261,"Japan"
4683.25034692229,0.000140185817286672,"Japan"
4739.40910674916,0.000142306939329289,"Japan"
4795.56786657603,0.000144422883233759,"Japan"
4851.72662640289,0.000146496189614538,"Japan"
4907.88538622976,0.000148490076343967,"Japan"
4964.04414605662,0.000150370824524618,"Japan"
5020.20290588349,0.000152094791580924,"Japan"
5076.36166571036,0.000153653105354973,"Japan"
5132.52042553722,0.000155036462958708,"Japan"
5188.67918536409,0.000156244277058303,"Japan"
5244.83794519096,0.000157284732005749,"Japan"
5300.99670501782,0.000158173525628477,"Japan"
5357.15546484469,0.000158931762941213,"Japan"
5413.31422467155,0.000159583132894704,"Japan"
5469.47298449842,0.00016015064290806,"Japan"
5525.63174432529,0.00016065331824348,"Japan"
5581.79050415215,0.00016110336332206,"Japan"
5637.94926397902,0.000161504299720924,"Japan"
5694.10802380589,0.000161847634629696,"Japan"
5750.26678363275,0.000162116069320763,"Japan"
5806.42554345962,0.000162293824907831,"Japan"
5862.58430328649,0.000162362959230454,"Japan"
5918.74306311335,0.00016231009804937,"Japan"
5974.90182294022,0.000162129049054277,"Japan"
6031.06058276708,0.000161821794592175,"Japan"
6087.21934259395,0.000161397676991524,"Japan"
6143.37810242082,0.000160870945278922,"Japan"
6199.53686224768,0.000160257157092253,"Japan"
6255.69562207455,0.00015956917275884,"Japan"
6311.85438190141,0.000158813597208575,"Japan"
6368.01314172828,0.000157988489078661,"Japan"
6424.17190155515,0.00015707429637812,"Japan"
6480.33066138201,0.000156056357060037,"Japan"
6536.48942120888,0.000154914823905037,"Japan"
6592.64818103575,0.000153632163247979,"Japan"
6648.80694086261,0.000152197754308394,"Japan"
6704.96570068948,0.000150610083631332,"Japan"
6761.12446051635,0.000148877066314157,"Japan"
6817.28322034321,0.000147014586928902,"Japan"
6873.44198017008,0.000145043721299705,"Japan"
6929.60073999694,0.000142987338972284,"Japan"
6985.75949982381,0.000140866857600855,"Japan"
7041.91825965068,0.000138699816432207,"Japan"
7098.07701947754,0.000136497816141011,"Japan"
7154.23577930441,0.000134268087017356,"Japan"
7210.39453913128,0.000132015772633755,"Japan"
7266.55329895814,0.000129742600802097,"Japan"
7322.71205878501,0.000127450328531871,"Japan"
7378.87081861187,0.000125141553042157,"Japan"
7435.02957843874,0.000122819942133412,"Japan"
7491.18833826561,0.000120489979900882,"Japan"
7547.34709809247,0.000118156401356446,"Japan"
7603.50585791934,0.000115823518463448,"Japan"
7659.66461774621,0.000113494629290632,"Japan"
7715.82337757307,0.000111171662485666,"Japan"
7771.98213739994,0.000108855152651052,"Japan"
7828.14089722681,0.000106544966940038,"Japan"
7884.29965705367,0.000104239926926262,"Japan"
7940.45841688054,0.00010194011429354,"Japan"
7996.6171767074,9.9647490841949e-05,"Japan"
8052.77593653427,9.73663432952945e-05,"Japan"
8108.93469636114,9.51034384178724e-05,"Japan"
8165.093456188,9.28677265516607e-05,"Japan"
8221.25221601487,9.06696117988485e-05,"Japan"
8277.41097584173,8.85198773590117e-05,"Japan"
8333.5697356686,8.6428410159128e-05,"Japan"
8389.72849549547,8.44029027164333e-05,"Japan"
8445.88725532233,8.24477182577241e-05,"Japan"
8502.0460151492,8.05647664845962e-05,"Japan"
8558.20477497607,7.8751383299994e-05,"Japan"
8614.36353480293,7.69930833751827e-05,"Japan"
8670.5222946298,7.52774703335867e-05,"Japan"
8726.68105445667,7.35908877400642e-05,"Japan"
8782.83981428353,7.19201631917355e-05,"Japan"
8838.9985741104,7.02543557616503e-05,"Japan"
8895.15733393726,6.85862458702677e-05,"Japan"
8951.31609376413,6.69133051225833e-05,"Japan"
9007.474853591,6.52379282321977e-05,"Japan"
9063.63361341786,6.35668033150661e-05,"Japan"
9119.79237324473,6.19094351302276e-05,"Japan"
9175.9511330716,6.02760033543777e-05,"Japan"
9232.10989289846,5.86774212613877e-05,"Japan"
9288.26865272533,5.7115884949346e-05,"Japan"
9344.4274125522,5.5587401252708e-05,"Japan"
9400.58617237906,5.40835209904862e-05,"Japan"
9456.74493220593,5.25921129585917e-05,"Japan"
9512.90369203279,5.10997474844949e-05,"Japan"
9569.06245185966,4.95943653564698e-05,"Japan"
9625.22121168653,4.80677050747369e-05,"Japan"
9681.37997151339,4.65170379910409e-05,"Japan"
9737.53873134026,4.4945917370213e-05,"Japan"
9793.69749116712,4.33638496482086e-05,"Japan"
9849.85625099399,4.17850049299107e-05,"Japan"
9906.01501082086,4.02269822972287e-05,"Japan"
9962.17377064772,3.87112617723187e-05,"Japan"
10018.3325304746,3.725089410663e-05,"Japan"
10074.4912903015,3.58568058023917e-05,"Japan"
10130.6500501283,3.45356761108861e-05,"Japan"
10186.8088099552,3.32899384880463e-05,"Japan"
10242.9675697821,3.21182162920454e-05,"Japan"
10299.1263296089,3.10160557521966e-05,"Japan"
10355.2850894358,2.99768286296944e-05,"Japan"
10411.4438492627,2.89926939057356e-05,"Japan"
10467.6026090895,2.80555250760971e-05,"Japan"
10523.7613689164,2.71577238454352e-05,"Japan"
10579.9201287433,2.62928525633953e-05,"Japan"
10636.0788885701,2.54575619878269e-05,"Japan"
10692.237648397,2.46476975462707e-05,"Japan"
10748.3964082239,2.38610612612087e-05,"Japan"
10804.5551680507,2.30973304721744e-05,"Japan"
10860.7139278776,2.23567215658742e-05,"Japan"
10916.8726877045,2.16396496760947e-05,"Japan"
10973.0314475313,2.09465405525231e-05,"Japan"
11029.1902073582,2.02778161144711e-05,"Japan"
11085.348967185,1.9634027491536e-05,"Japan"
11141.5077270119,1.90160683460043e-05,"Japan"
11197.6664868388,1.8425374376562e-05,"Japan"
11253.8252466656,1.78640075916732e-05,"Japan"
11309.9840064925,1.73349244564621e-05,"Japan"
11366.1427663194,1.68435946649657e-05,"Japan"
11422.3015261462,1.63891568255696e-05,"Japan"
11478.4602859731,1.59718620167257e-05,"Japan"
11534.6190458,1.55898086953171e-05,"Japan"
11590.7778056268,1.52386661155004e-05,"Japan"
11646.9365654537,1.49118159167317e-05,"Japan"
11703.0953252806,1.46009401841436e-05,"Japan"
11759.2540851074,1.42969956553619e-05,"Japan"
11815.4128449343,1.39914311355083e-05,"Japan"
11871.5716047612,1.36774438225059e-05,"Japan"
11927.730364588,1.33510425211423e-05,"Japan"
11983.8891244149,1.30117001917914e-05,"Japan"
12040.0478842418,1.26622959269684e-05,"Japan"
